help,Abi
close,Sulge
feedback,Tagasiside
homepage,Kuidas otsida?

menu_add,Lisa
menu_edit,Muuda/Kustuta
menu_relate,Seo teisega
menu_rights,Õigused
menu_share,Saada viide e-postiga
menu_parents,Kuuluvus
menu_login,Sisene
menu_exit,Välju
menu_help,Abiinfo
menu_download,Lae alla
menu_print,Trüki
menu_fullscreen,Täisekraan
menu_add_under,Lisa %s alla
menu_add_under_this,Lisa selle objekti alla
menu_add_reference,Viita lisades %s alla
menu_duplicate,Dubleeri

quota,Kasutus ja limiit
quota_entities,<strong>Objekte:</strong> %s
quota_files,<strong>Faile:</strong> %s / %s

search,Otsi
search_button,Otsi
search_advanced,Laiendatud otsing
search_simple,Tavaotsing
search_placeholder,Otsi...
search_term_to_short,Otsisõna '%s' on liiga lühike. Proovi 2x pikemat.
search_noresult,Ei leidnud midagi
search_result_count1,Leiti üks
search_result_count2,Leiti %s
search_result_over_limit, Leiti rohkem kui %s

boolean_true,Jah
boolean_false,Ei

add_files_computer,Lisa arvutist
add_files_url,Lisa URL'ist
add_files_url_prompt,Sisesta fali URL

entity_delete,Kustuta
confirm_entity_delete,%s ja kõik selle alamosad kustutatakse.
confirm_file_delete,Fail %s kustutatakse.
edit_close_info,Andmed salvestuvad automaatselt.
edit_help_tabs,"Donec a metus tellus. Nullam vulputate, ligula a ornare eleifend, dolor quam ornare velit, a malesuada mauris mi vitae quam. Quisque auctor nulla faucibus sem elementum placerat."

counter_generate_value,Genereeri number

duplicate_count,Koopiate arv
duplicate_create_duplicates1,Loo üks koopia
duplicate_create_duplicates2,Loo %s koopiat

download_all_as_zip,Lae alla kõik failid

created,Loodud
changed,Muudetud
complete,Täidetud

share_by_email,Saada viide e-postiga
share_to,Saaja E-post
share_message,Sõnum
share_send,Saada

confirm_parent_delete,Seos objektiga '%s' kustutatakse.

public_link,Avalik viide

rights_public,Public on the web
rights_public_desc,Anyone on the Internet can access and view public properties. No sign-in required.
rights_link,Anyone with the link
rights_link_desc,Anyone who has the link can access and view all properties. No sign-in required.
rights_generate_link,Genereeri link
rights_delete_link,Kustuta link
rights_domain,Anyone at %s
rights_domain_desc,People at %s can access and view all properties. Sign-in required.
rights_private,Private
rights_private_desc,Only people explicitly granted permission (see below) can access. Sign-in required.
rights_no_access, Ligipääs puudub
rights_can_view,Võib ainult vaadata
rights_can_add_child,Võib ainult vaadata ja lisada alamosi
rights_can_edit,"Võib muuta ja lisada alamosi"
rights_owner,"Võib muuta, kustutada, lisada alamosi ja muuta õiguseid"
rights_add_user,Lisa uus
rights_help_share,"Donec pharetra, sem quis pellentesque convallis, ligula neque dignissim tellus, non laoreet dolor neque nec felis. Etiam id eleifend nunc."
rights_help_rights,"Pellentesque ac eros nec odio adipiscing sollicitudin. Etiam congue, purus a volutpat semper, mi arcu condimentum ante, luctus consequat odio nisl sit amet nunc. Nullam risus ante, posuere vitae euismod eu, molestie sit amet nibh. Donec id turpis eget ante placerat tincidunt. "
rights_help_add,"Quisque turpis tortor, cursus in feugiat vel, aliquet vitae eros. Sed tincidunt cursus ante, vitae placerat dui vulputate in. Nulla dignissim suscipit arcu, id mattis ligula iaculis id."

action_add_default,Käsitsi
action_add_ester,Impordi Estrist
action_add_ester_search_placeholder,"Pealkiri, ISBN või Estri püsilink"
action_add_ester_add,Lisa
action_add_ester_open,Ava
action_add_ester_help_search,"Donec pharetra, sem quis pellentesque convallis, ligula neque dignissim tellus, non laoreet dolor neque nec felis. Etiam id eleifend nunc."

action_add_csv,CSV failist
action_add_csv_file,CSV fail
action_add_csv_delimiter,Väljade eraldaja
action_add_csv_first_row,Alusta reast
action_add_csv_do_import,Impordi %s rida
action_add_csv_encoding,Kooditabel
